SignalRole,InterfaceName,RefBlock,Direction,DataType,RecordWhen,Reason,RelatedTests,StaticStatus
Modelbase input,Veh_1.ToModelbase.FromDriverManeuver.SteeringWheelAngle_rad,Veh_1/ToModelbase/FromDriverManeuver/SteeringWheelAngle_rad,Input,Double,Always,识别转向角对车辆状态影响,FI-09,Resolved to Vehspeed; extended observation
Plant state,Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed,Veh_1/PlantModel/PlantModel/Vehicle1/Vehspeed,Output,Double,Always,车辆运动安全和恢复性核心观测,FI-01;FI-02;FI-03;FI-04;FI-05;FI-06;FI-07;FI-08;FI-09;FI-10,State or parameter path; runtime required
Plant state,Veh_1.PlantModel.PlantModel.Driveline.FrontMotSpd,Veh_1/PlantModel/PlantModel/Driveline/FrontMotSpd,Output,Double,Always,前电机转速和动力请求响应,FI-03;FI-06;FI-09,State or parameter path; runtime required
Plant state,Veh_1.PlantModel.PlantModel.Driveline.RearMotSpd,Veh_1/PlantModel/PlantModel/Driveline/RearMotSpd,Output,Double,Always,后电机转速和挡位制动响应,FI-03;FI-04;FI-05;FI-09,Indirect static dependency
Plant state,Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrq,Veh_1/PlantModel/PlantModel/Powertrain/FMotor/Motor/MotTrq,Output,Double,Always,实际前电机转矩是否受请求和限制约束,FI-03;FI-06;FI-09,Indirect static dependency
Plant state,Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrqManagement.FTrq,Veh_1/PlantModel/PlantModel/Powertrain/FMotor/Motor/MotTrqManagement/FTrq,Output,Double,Always,前电机管理转矩状态,FI-03;FI-06;FI-09,Indirect static dependency
Plant state,Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq,Veh_1/PlantModel/PlantModel/Powertrain/RMotor/Motor/MotTrqManagement/RTrq,Output,Double,Always,后电机管理转矩状态,FI-03;FI-04;FI-05;FI-06;FI-09,Indirect static dependency
Brake output,Veh_1.ToVCU.HW.Relay.Relay9.BrakeOpen1_Out,Veh_1/ToVCU/HW/Relay/Relay9/BrakeOpen1_Out,Output,Double,On brake tests,主制动继电器响应和一致性,FI-01;FI-05,Indirect static dependency
Brake output,Veh_1.ToVCU.HW.Relay.Relay12.BrakeOpen2_Out,Veh_1/ToVCU/HW/Relay/Relay12/BrakeOpen2_Out,Output,Double,On brake tests,辅制动继电器响应和一致性,FI-01;FI-05,Indirect static dependency
Brake output,Veh_1.ToVCU.HW.Voltage Output.Voltage Output1.BRK_Main_Out,Veh_1/ToVCU/HW/Voltage Output/Voltage Output1/BRK_Main_Out,Output,Double,On brake tests,主制动电压输出,FI-01,Indirect static dependency
Brake output,Veh_1.ToVCU.HW.Voltage Output.Voltage Output5.BRK_Auxi_Out,Veh_1/ToVCU/HW/Voltage Output/Voltage Output5/BRK_Auxi_Out,Output,Double,On brake tests,辅制动电压输出,FI-01,Indirect static dependency
Accelerator output,Veh_1.ToVCU.HW.Voltage Output.Voltage Output7.ACC_Main_Out_Out,Veh_1/ToVCU/HW/Voltage Output/Voltage Output7/ACC_Main_Out_Out,Output,Double,On accelerator tests,主加速电压输出,FI-02,Indirect static dependency
Accelerator output,Veh_1.ToVCU.HW.Voltage Output.Voltage Output8.ACC_Auxi_Out_Out,Veh_1/ToVCU/HW/Voltage Output/Voltage Output8/ACC_Auxi_Out_Out,Output,Double,On accelerator tests,辅加速电压输出,FI-02,Indirect static dependency
Power CAN,Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_motor_Torque_AND_speed.MC_motor_Torque_ToBus,Veh_1/ToVCU/powerCAN_out/SoftMCUDataToBus/MC_motor_Torque_AND_speed/MC_motor_Torque_ToBus,Output,Double,On torque tests,CAN侧电机转矩报文,FI-03;FI-06,Indirect static dependency or runtime required
Power CAN,Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_motor_Torque_AND_speed.MC_motor_speed_ToBus,Veh_1/ToVCU/powerCAN_out/SoftMCUDataToBus/MC_motor_Torque_AND_speed/MC_motor_speed_ToBus,Output,Double,On torque tests,CAN侧电机转速报文,FI-03;FI-04;FI-05,Indirect static dependency or runtime required
Power CAN,Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_motor_Torque_AND_speed.MC_busbar_current_ToBus,Veh_1/ToVCU/powerCAN_out/SoftMCUDataToBus/MC_motor_Torque_AND_speed/MC_busbar_current_ToBus,Output,Double,On torque and brake tests,CAN侧母线电流报文,FI-01;FI-03;FI-06,Indirect static dependency or runtime required
Power CAN,Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_General.MC_MaxToque_Limit_ToBus,Veh_1/ToVCU/powerCAN_out/SoftMCUDataToBus/MC_General/MC_MaxToque_Limit_ToBus,Output,Double,On torque tests,CAN侧最大转矩限制报文,FI-03;FI-06,Indirect static dependency
Power CAN,Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_Status.MC_max_Torque_Limit_ToBus,Veh_1/ToVCU/powerCAN_out/SoftMCUDataToBus/MC_Status/MC_max_Torque_Limit_ToBus,Output,Double,On torque-limit tests,CAN侧MC状态最大转矩限制报文,FI-06,Indirect static dependency
Power CAN,Veh_1.ToVCU.powerCAN_out.SoftBMSDataToBus.BMS_HVBusVolt_Curr.BMS_HVBusCurr_ToBus,Veh_1/ToVCU/powerCAN_out/SoftBMSDataToBus/BMS_HVBusVolt_Curr/BMS_HVBusCurr_ToBus,Output,Double,On brake torque and gear tests,CAN侧BMS高压母线电流报文,FI-01;FI-03;FI-04;FI-05,Indirect static dependency
Mode output,Veh_1.ToVCU.HW.Relay.Relay8.DriveMode_Out,Veh_1/ToVCU/HW/Relay/Relay8/DriveMode_Out,Output,Double,On drive-mode tests,驾驶模式继电器输出,FI-07,Indirect static dependency
Enable output,Veh_1.ToVCU.HW.Relay.Relay25.Model_Disabled_Out,Veh_1/ToVCU/HW/Relay/Relay25/Model_Disabled_Out,Output,Double,On key tests,模型禁用相关继电器输出,FI-08,Indirect static dependency

